Model,Recall,Specificity,Precision,F1,Accuracy
1,0.8988888699145082,0.9460471521766262,0.9090208468342211,0.9039264673116499,0.9283681640625
2,0.9228973146073562,0.8990350542062739,0.8457218381164645,0.8826257615727221,0.9079806857638889
3,0.9547562324328188,0.903300770397891,0.855516407420135,0.9024161377142141,0.9225907118055555
4,0.9795985529172483,0.8432183097210247,0.7893442439428952,0.874240230370947,0.8943453776041667
5,0.9716933756802918,0.8393589431369183,0.7839027752676286,0.8677543904316151,0.8889692925347222
6,0.9731666237813503,0.849352262061996,0.7948316979233745,0.8750049934398887,0.8957685546875
7,0.943556363028014,0.9258761728983732,0.8841783989680421,0.912902869437265,0.9325042317708333
8,0.8948465549873211,0.9557821848069683,0.9238759236813858,0.9091295645580586,0.9329382595486111
9,0.9905029043827249,0.7674925174217404,0.7186912621864884,0.8329841003133056,0.8510960286458333
10,0.9347652108524839,0.9247730751812734,0.8816840178719143,0.9074490317024462,0.9285189887152778
11,0.9301741182436452,0.9371827943140216,0.8987881471048627,0.9142118326446722,0.9345553385416666
12,0.9588532514643479,0.8945098366634271,0.8449865770528182,0.8983260199070542,0.9186312934027778
13,0.9605169508916335,0.882752950026983,0.8308800314471314,0.8910078137124182,0.9119055989583333
14,0.947121391880811,0.9043358249513239,0.855853871858019,0.8991776278503256,0.9203755425347222
15,0.9731316015769833,0.8501219135612281,0.7956598589967713,0.8754924140631998,0.8962365451388888
16,0.9334358142850652,0.9191423298083388,0.873787525739677,0.9026273095718,0.9245007595486111
17,0.9450411887172929,0.9196691435882597,0.8758564227582519,0.9091344726828434,0.9291807725694444
18,0.9684473093829695,0.874905941608898,0.8227829020282491,0.8896923272054396,0.9099733072916667
19,0.9774928790596451,0.8515065572259497,0.7978868174872208,0.8786049360666808,0.8987370876736112
20,0.9811149275344281,0.8194099720380785,0.7651543128223973,0.8597807266238117,0.8800309244791666
21,0.9361113949228224,0.9210990915022594,0.8767741342577243,0.905471685488321,0.9267269965277778
22,0.9558422102079016,0.907864175430551,0.8615254095351987,0.906236407707977,0.9258504774305556
23,0.9015708182257867,0.9524282817243873,0.9191303136727467,0.9102658909098135,0.9333625217013889
24,0.9896536882867514,0.7407937339189443,0.6960206656278213,0.817262737921777,0.834087890625
25,0.9470096681544833,0.9222549573871008,0.8795910494345744,0.9120561705857068,0.93153515625
26,0.8135145766177292,0.9766164113514744,0.9542624060091662,0.87828542269306,0.9154717881944444
27,0.9639100525593561,0.8826192938126373,0.8312151909223466,0.8926582490880792,0.9130940755208333
28,0.8866530958036742,0.9565348255152838,0.9244345073916302,0.9051497193182915,0.9303371310763889
29,0.9735379749235228,0.8601117608963229,0.8067114225952763,0.8823080696397608,0.9026336805555556
30,0.9797010145729997,0.8211981880383242,0.7666799172349122,0.8601984585232564,0.8806187065972222
31,0.9588135982246926,0.9067891975923135,0.8605087324912473,0.907005273528437,0.9262924262152777
32,0.9256501756464853,0.9404950383168066,0.9031849929127928,0.9142796045305794,0.9349299045138889
33,0.9252466966970009,0.9236763999056422,0.8790821436448166,0.9015738498960069,0.9242650824652778
34,0.967459741107761,0.8418225569683577,0.7857752397036621,0.8672036758253127,0.8889222005208334
35,0.9629679263179131,0.8571614301492663,0.8017063996855833,0.8749688685837395,0.8968268229166667
36,0.9243511702481454,0.9296206298540423,0.8873426771031331,0.9054689269829677,0.9276451822916667
37,0.9187050699127137,0.8976316639556442,0.843311467308566,0.8793952884843023,0.9055317925347223
38,0.929625051122288,0.9299549439694056,0.8883831737080475,0.9085363223278017,0.9298312717013889
39,0.9501196977902147,0.9052347931774231,0.857401626301663,0.9013826428585648,0.9220615234375
40,0.9738019439349501,0.8672712209182737,0.814812446795242,0.8872409265450131,0.9072081163194444
41,0.8842556667229144,0.9528943426796057,0.9184178391420492,0.9010130520458272,0.9271626519097222
42,0.98112447904471,0.8218848685369626,0.76762660650785,0.8613430014516915,0.8815815972222222
43,0.9116931036069686,0.9405818280663817,0.9019774546799895,0.9068092562713425,0.9297518446180556
44,0.9568410666316252,0.8840685090510426,0.8319242443993371,0.890020928356422,0.9113499348958334
45,0.978035578507481,0.8577963839571578,0.8048637224481202,0.8830396152854117,0.9028723958333333
46,0.9843378386553094,0.8075201235052852,0.7541122795735882,0.8539805009017316,0.873806640625
47,0.9640993461267613,0.8825472583204899,0.8311566593895997,0.8927056524352772,0.9131200086805555
48,0.971084105100188,0.8638822547768644,0.8105490177035385,0.8835840077533058,0.9040707465277777
49,0.9156844771459856,0.9469487240952125,0.911903521080479,0.9137900880488176,0.9352281901041667
50,0.9459158755073517,0.922593610989943,0.8799305876223568,0.9117308919280913,0.9313368055555555
51,0.9536815428062511,0.9016587083359298,0.8532815983127677,0.9006923191838416,0.9211613498263889
52,0.9560656576605573,0.8720134128350583,0.8175132910629559,0.8813776041138568,0.9035234375
53,0.9531646034922058,0.8879547804575174,0.8361112415849653,0.8908091418697233,0.9124010416666667
54,0.8369125929716514,0.9675104308260527,0.9392028885237957,0.8851121821190314,0.9185511067708333
55,0.9405479267289174,0.9282387634613072,0.8871352103363203,0.9130610945504009,0.9328532986111111
56,0.804968579872768,0.9821912641256827,0.9644220459378221,0.8775105207318564,0.9157529296875
57,0.9701801848998727,0.8706612285366779,0.8181309390264024,0.8876916494868977,0.9079695095486111
58,0.9243830086157517,0.9131441166357029,0.8645451274864452,0.893463309008355,0.917357421875
59,0.9697587606886465,0.8819517070589055,0.8312682310681592,0.8951888597451447,0.9148693576388889
60,0.995634670361461,0.656384627174669,0.6347261181661473,0.7752337198944605,0.7835647786458333
61,0.9400272246987005,0.8966049412181705,0.8450168756302994,0.8899935506085406,0.9128833550347222
62,0.9884235695383234,0.7747648041181389,0.7246518124173218,0.8362304877491844,0.8548625217013889
63,0.9624020716936362,0.881091620640616,0.8291716218767214,0.8908330029042041,0.9115737847222222
64,0.9284962362707894,0.9331107928434561,0.892757024886308,0.9102759678624877,0.931380859375
