Dataset Name,Model,Learning Rate,Optimizer,Loss,Epochs,Batch Size,All,Train,Test,Val,Train Accuracy,Train Loss,Val Accuracy,Val Loss,Test Accuracy,Test Loss,Normalized
S2MTCP,model_1_pre_1_norm_true,0.001,Adam,binary_crossentropy,50,5,15200,12920,752,1528,0.9926470518112183,3.78136944770813,0.9698360562324524,8.66869068145752,0.981333315372467,0.5048975348472595,1
S2MTCP,model_2_pre_1_norm_true,0.001,Adam,binary_crossentropy,50,5,15200,12920,752,1528,0.9955882430076599,0.022471556439995766,0.9645901918411255,0.22162751853466034,0.9666666388511658,0.20143304765224457,1
Onera,model_2_pre_1_norm_true,0.001,Adam,binary_crossentropy,50,5,240,0,0,0,0.9375,0.6340190768241882,0,0,0,0,1
S2MTCP,model_3_pre_1_norm_true,0.001,Adam,binary_crossentropy,20,5,15200,12920,752,1528,0.9958978295326233,0.03985298052430153,0.9737704992294312,0.1861438751220703,0.9800000190734863,0.07729733735322952,True
Onera,model_3_pre_1_norm_true,0.001,Adam,binary_crossentropy,20,5,240,0,0,0,0.9333333373069763,0.44381478428840637,0,0,0,0,True
S2MTCP,model_4_pre_1_norm_false,0.001,Adam,binary_crossentropy,20,5,15200,12920,752,1528,0.9706656336784363,0.576549232006073,0.9462295174598694,0.9259002208709717,0.9506666660308838,0.31011754274368286,False
Onera,model_4_pre_1_norm_false,0.001,Adam,binary_crossentropy,20,5,240,0,0,0,0.9125000238418579,0.4951871931552887,0,0,0,0,False
S2MTCP,model_onehot_pre_1_norm_true.h5,0.001,Adam,binary_crossentropy,20,5,15200,12920,752,1528,0.9863002896308899,0.576130747795105,0.9645901918411255,0.6156169772148132,0.9653333425521851,0.3392546474933624,True
Onera,model_onehot_pre_1_norm_true.h5,0.001,Adam,binary_crossentropy,20,5,240,0,0,0,0.9375,0.6996011734008789,0,0,0,0,True
S2MTCP,model_onehot_pre_1_norm_false.h5,0.001,Adam,binary_crossentropy,20,5,15200,12920,752,1528,0.9722909927368164,0.4791744351387024,0.9357377290725708,0.6514992117881775,0.9359999895095825,0.6121976971626282,False
Onera,model_onehot_pre_1_norm_false.h5,0.001,Adam,binary_crossentropy,20,5,240,0,0,0,0.9083333611488342,0.6822856664657593,0,0,0,0,False
S2MTCP,model_onehot_pre_1_norm_true_small.h5,0.001,Adam,binary_crossentropy,20,5,10336,8786,512,1038,0.9946499466896057,0.020061861723661423,0.9690821170806885,0.19864962995052338,0.9627450704574585,0.19584845006465912,True
Onera,model_onehot_pre_1_norm_true_small.h5,0.001,Adam,binary_crossentropy,20,5,240,0,0,0,0.9291666746139526,0.6771737337112427,0,0,0,0,True
S2MTCP,model_onehot_pre_1_norm_true_splits01.h5,0.001,Adam,binary_crossentropy,20,5,15200,13680,76,1520,0.9940789341926575,0.16217902302742004,0.9657894968986511,0.3398960828781128,0.9599999785423279,0.30079078674316406,True
S2MTCP,model_pre_1_norm_true_unclouded_nodatagen.h5,0.001,Adam,binary_crossentropy,20,5,15030,12776,744,1510,0.9726831316947937,0.06598018109798431,0.9549669027328491,0.14702357351779938,0.9502688050270081,0.19232366979122162,True
Onera,model_pre_1_norm_true_unclouded_nodatagen.h5,0.001,Adam,binary_crossentropy,20,5,240,0,0,0,0.9784946441650391,0.1123906821012497,0,0,0,0,True
S2MTCP,model_pre_1_norm_true_unclouded_nodatagen_drop01.h5,0.001,Adam,binary_crossentropy,20,5,15030,12776,744,1510,Nan,Nan,0.9721854329109192,0.29347389936447144,0.9704301357269287,0.2586897015571594,True
