Anchor,Positive,Negative
0_a_lo_0.npy,0_b_ro_0.npy,0_b_rn_0.npy
0_a_lo_1.npy,0_b_ro_1.npy,0_b_rn_1.npy
0_a_lo_2.npy,0_b_ro_2.npy,0_b_rn_2.npy
0_a_lo_3.npy,0_b_ro_3.npy,0_b_rn_3.npy
0_a_lo_4.npy,0_b_ro_4.npy,0_a_ln_4.npy
1_a_lo_0.npy,1_b_ro_0.npy,1_b_rn_0.npy
1_a_lo_1.npy,1_b_ro_1.npy,1_b_rn_1.npy
1_a_lo_2.npy,1_b_ro_2.npy,1_b_rn_2.npy
1_a_lo_3.npy,1_b_ro_3.npy,1_b_rn_3.npy
1_a_lo_4.npy,1_b_ro_4.npy,1_a_ln_4.npy
2_a_lo_0.npy,2_b_ro_0.npy,2_b_rn_0.npy
2_a_lo_1.npy,2_b_ro_1.npy,2_a_ln_1.npy
2_a_lo_2.npy,2_b_ro_2.npy,2_b_rn_2.npy
2_a_lo_3.npy,2_b_ro_3.npy,2_a_ln_3.npy
2_a_lo_4.npy,2_b_ro_4.npy,2_b_rn_4.npy
4_a_lo_0.npy,4_b_ro_0.npy,4_b_rn_0.npy
4_a_lo_1.npy,4_b_ro_1.npy,4_a_ln_1.npy
4_a_lo_2.npy,4_b_ro_2.npy,4_a_ln_2.npy
4_a_lo_3.npy,4_b_ro_3.npy,4_b_rn_3.npy
4_a_lo_4.npy,4_b_ro_4.npy,4_b_rn_4.npy
5_a_lo_0.npy,5_b_ro_0.npy,5_b_rn_0.npy
5_a_lo_1.npy,5_b_ro_1.npy,5_a_ln_1.npy
5_a_lo_2.npy,5_b_ro_2.npy,5_b_rn_2.npy
5_a_lo_3.npy,5_b_ro_3.npy,5_b_rn_3.npy
5_a_lo_4.npy,5_b_ro_4.npy,5_b_rn_4.npy
6_a_lo_0.npy,6_b_ro_0.npy,6_a_ln_0.npy
6_a_lo_1.npy,6_b_ro_1.npy,6_a_ln_1.npy
6_a_lo_2.npy,6_b_ro_2.npy,6_b_rn_2.npy
6_a_lo_3.npy,6_b_ro_3.npy,6_a_ln_3.npy
6_a_lo_4.npy,6_b_ro_4.npy,6_a_ln_4.npy
8_a_lo_0.npy,8_b_ro_0.npy,8_b_rn_0.npy
8_a_lo_1.npy,8_b_ro_1.npy,8_b_rn_1.npy
8_a_lo_2.npy,8_b_ro_2.npy,8_b_rn_2.npy
8_a_lo_3.npy,8_b_ro_3.npy,8_a_ln_3.npy
8_a_lo_4.npy,8_b_ro_4.npy,8_a_ln_4.npy
9_a_lo_0.npy,9_b_ro_0.npy,9_a_ln_0.npy
9_a_lo_1.npy,9_b_ro_1.npy,9_a_ln_1.npy
